INFO 2022-12-20 18:03:15 (28112) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Zeit 2022
INFO 2022-12-20 18:03:16 (29038) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Rammstein
INFO 2022-12-20 18:03:17 (29764) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Made in Germany
INFO 2022-12-20 18:03:17 (29936) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Liebe ist für alle da
INFO 2022-12-20 18:03:18 (30990) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Rosenrot Lyrics
INFO 2022-12-20 18:03:19 (31654) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Reise Reise Lyrics
INFO 2022-12-20 18:03:20 (32425) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Mutter Lyrics
INFO 2022-12-20 18:03:20 (33188) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Sehnsucht Lyrics
INFO 2022-12-20 18:03:21 (33959) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Herzeleid Lyrics
INFO 2022-12-20 18:03:22 (34881) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Lyrics of other releases
INFO 2022-12-20 18:06:06 (26475) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Zeit 2022
INFO 2022-12-20 18:06:06 (26547) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 1  - Armee der Tristen  - Army of the Dreary - https://affenknecht.com/lyrics/lyrics-of-rammstein-song-armee-der-tristen-and-english-translation/
INFO 2022-12-20 18:06:06 (26606) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 2  - Zeit               - Time               - https://affenknecht.com/lyrics-of-rammstein-song-zeit-and-english-translation/
INFO 2022-12-20 18:06:06 (26672) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 3  - Schwarz            - Black              - https://affenknecht.com/lyrics/lyrics-of-rammstein-song-schwarz-and-english-translation/
INFO 2022-12-20 18:06:07 (26731) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 4  - Giftig             - Toxic              - https://affenknecht.com/lyrics/lyrics-of-rammstein-song-giftig-and-english-translation/
INFO 2022-12-20 18:06:07 (26787) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 5  - Zick Zack          - Zig Zag            - https://affenknecht.com/lyrics-of-rammstein-song-zick-zack-zigzag-and-english-translation/
INFO 2022-12-20 18:06:07 (26844) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 6  - OK                 - WC                 - https://affenknecht.com/lyrics/lyrics-of-rammstein-song-ok-and-english-translation/
INFO 2022-12-20 18:06:07 (26898) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 7  - Meine Tränen       - My tears           - https://affenknecht.com/lyrics/lyrics-of-rammstein-song-meine-tranen-and-english-translation/
INFO 2022-12-20 18:06:07 (26954) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 8  - Angst              - Fear               - https://affenknecht.com/lyrics-of-rammstein-song-angst-and-english-translation/
INFO 2022-12-20 18:06:07 (27024) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 9  - Dicke Titten       - Big tits           - https://affenknecht.com/lyrics-of-rammstein-song-dicke-titten-and-english-translation/
INFO 2022-12-20 18:06:07 (27091) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 10 - Lügen              - Lies               - https://affenknecht.com/lyrics/lyrics-of-rammstein-song-lugen-and-english-translation/
INFO 2022-12-20 18:06:07 (27167) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 11 - Adieu              - Farewell           - https://affenknecht.com/lyrics/lyrics-of-rammstein-song-adieu-and-english-translation/
INFO 2022-12-20 18:06:07 (27168) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - ----------------------------------------------------------------------------------------------------
INFO 2022-12-20 18:06:07 (27217) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Rammstein
INFO 2022-12-20 18:06:07 (27331) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 1  - Deutschland        - Germany            - https://affenknecht.com/lyrics/deutschland/
INFO 2022-12-20 18:06:07 (27400) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 2  - Radio              - Radio              - https://affenknecht.com/lyrics/radio/
INFO 2022-12-20 18:06:07 (27460) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 3  - Zeig dich          - Show yourself      - https://affenknecht.com/lyrics/zeig-dich/
INFO 2022-12-20 18:06:07 (27521) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 4  - Ausländer          - Foreigner          - https://affenknecht.com/lyrics/auslander/
